subj_id,mean_trustworthy,mean_untrustworthy,neural_diff
sub-001,0.058437581993872195,0.02567442631445035,0.03276315567942184
sub-002,0.0023694893958792628,-0.01823873607281702,0.020608225468696284
sub-003,0.017466588305357616,-0.011215952426636332,0.028682540731993948
sub-004,-0.00831024893112568,0.01973289697148571,-0.02804314590261139
sub-005,0.0034825705146762417,0.005075558951374944,-0.0015929884366987024
sub-006,0.0338671764784416,0.03443657711789627,-0.0005694006394546744
sub-007,0.05190128770587912,0.05837858716533418,-0.006477299459455056
sub-008,0.00028569461233183174,0.018476401307999636,-0.018190706695667806
sub-009,0.023154267368917417,0.026274683897367535,-0.003120416528450118
sub-010,0.013190478610491213,0.01890198546640161,-0.005711506855910398
sub-012,0.051337576016006546,0.046279597479042006,0.00505797853696454
sub-013,0.04949195086511361,0.05434371575514115,-0.004851764890027539
sub-014,0.03288653202254505,0.024286194468598185,0.008600337553946867
sub-015,0.06572574169737648,0.07489032460615844,-0.009164582908781957
sub-016,0.0699779160328759,0.05767150703653131,0.012306408996344588
sub-017,0.0001356716714707396,-0.008166385507923913,0.008302057179394652
sub-018,0.028567521499861196,0.04614651979818143,-0.01757899829832023
sub-019,0.03433345515839249,0.007493702705528754,0.026839752452863738
sub-020,0.0119116468411988,0.0028223119435743793,0.00908933489762442
sub-021,0.03033358892317808,0.039535296451146,-0.00920170752796792
sub-022,0.0028058075832427206,0.0069527533186348085,-0.004146945735392088
sub-023,0.10842368922314553,0.10839967927110603,2.4009952039508176e-05
sub-024,0.0018308686661879044,0.00032210313731104656,0.0015087655288768577
sub-025,0.04878742232381789,0.06818891601616886,-0.019401493692350967
sub-026,0.052874655692916044,0.05158886445170351,0.0012857912412125305
sub-027,0.06598493015282857,0.058919594475598594,0.0070653356772299725
sub-028,0.005815615314543355,0.02135930587842075,-0.015543690563877397
sub-029,0.032660043668030984,0.031999653322554326,0.000660390345476658
sub-030,0.03727388383903673,0.052890401740681874,-0.015616517901645144
sub-031,0.024867172050030677,0.00853612915501522,0.016331042895015458
sub-032,0.05519359578048199,0.032781583749034775,0.022412012031447215
