subj_id,mean_trustworthy,mean_untrustworthy,neural_diff
sub-001,0.05025947681425467,0.029462807055924533,0.020796669758330135
sub-002,0.02551057038841149,-0.005235659240675982,0.030746229629087473
sub-003,0.052294218479289285,0.03925045225714284,0.013043766222146445
sub-004,-0.00992101339196626,0.03938559468141628,-0.04930660807338254
sub-005,-0.006380137235577105,-0.00420354505219946,-0.0021765921833776444
sub-006,0.07357078676275536,0.039455049916340995,0.03411573684641436
sub-007,0.05805185086638374,0.06694857640680688,-0.008896725540423138
sub-008,-0.005216654397481183,0.043605193117029206,-0.04882184751451039
sub-009,0.031156932306270077,0.030404303749186127,0.0007526285570839501
sub-010,-0.0019019854491865015,-0.011697524488246711,0.009795539039060209
sub-012,0.061310150564340235,0.06049600453234385,0.0008141460319963864
sub-013,0.06636131260953286,0.08174724332608146,-0.015385930716548604
sub-014,0.029294083917791848,0.02598781262395184,0.0033062712938400074
sub-015,0.047730042744989536,0.0341937876363716,0.013536255108617938
sub-016,0.07151797164995362,0.0640562807050456,0.00746169094490802
sub-017,0.0018116681584861632,0.0011351825462917655,0.0006764856121943977
sub-018,0.03496424654982865,0.02175767000206525,0.013206576547763402
sub-019,0.025788922824846235,0.01989251225073835,0.005896410574107884
sub-020,0.004671203415760479,-0.018298058033569372,0.02296926144932985
sub-021,0.013750180894091654,0.01692714116444283,-0.0031769602703511767
sub-022,0.016155214087768387,0.015657839367979282,0.0004973747197891051
sub-023,0.07340317687028966,0.08879923226016641,-0.015396055389876748
sub-024,-0.006143063244926019,0.0023803910268921065,-0.008523454271818127
sub-025,0.06733712034990502,0.05908425530942061,0.008252865040484413
sub-026,0.025572403511044627,0.03434787797723614,-0.00877547446619151
sub-027,0.03171535797684037,0.009548440076811849,0.022166917900028525
sub-028,-0.003907036799541288,0.017697292255821662,-0.02160432905536295
sub-029,0.020990491646839048,0.040655140453628155,-0.019664648806789108
sub-030,0.0633206661121119,0.053795513085520184,0.009525153026591716
sub-031,0.03710791606207547,0.018588624077668512,0.018519291984406955
sub-032,0.04167487795288293,0.0051627308459085055,0.036512147106974424
