subj_id,mean_trustworthy,mean_untrustworthy,neural_diff
sub-001,0.07253404726765897,0.002901483170511133,0.06963256409714784
sub-002,0.004639984827516404,-0.04589557848880842,0.05053556331632482
sub-003,0.004413508547581949,0.019466055735813594,-0.015052547188231645
sub-004,0.007492564661814109,0.0012246122643173073,0.006267952397496801
sub-005,0.008750529943058213,-0.008521794238140657,0.01727232418119887
sub-006,0.026814022765968656,0.027026438983438726,-0.00021241621747006972
sub-007,0.05397313929922679,0.04203437757693284,0.011938761722293953
sub-008,-0.004179522415008791,0.03197364090855718,-0.03615316332356597
sub-009,0.025954664882996685,0.050315774255902224,-0.02436110937290554
sub-010,0.020312288618890735,0.025574284937762624,-0.005261996318871889
sub-012,0.06643828782966472,0.050589824261206895,0.01584846356845783
sub-013,0.04449317289355508,0.04660818686799325,-0.002115013974438168
sub-014,0.03607433983557129,0.002791129683031101,0.03328321015254019
sub-015,0.09793377275912664,0.041639409175268184,0.056294363583858455
sub-016,0.08189121874573264,0.057429831384470206,0.024461387361262438
sub-017,-0.004439760154088089,-0.0056706986569031595,0.0012309385028150708
sub-018,0.03275556177772428,0.0321683710289224,0.0005871907488018829
sub-019,0.040887946460270275,-0.01378546236527584,0.05467340882554611
sub-020,0.00797033425903168,0.006092436251777846,0.001877898007253835
sub-021,0.03310089215165941,0.047643233660080574,-0.014542341508421167
sub-022,0.006739346707035689,0.015915763699283166,-0.009176416992247477
sub-023,0.10321639161993369,0.1134404375916809,-0.010224045971747212
sub-024,0.013032440468459652,-0.005540981603104354,0.018573422071564007
sub-025,0.058300679056199595,0.05860924853022766,-0.0003085694740280684
sub-026,0.05919902461285149,0.04904088406967972,0.010158140543171768
sub-027,0.06621147985223069,0.06134421226196824,0.0048672675902624515
sub-028,0.021088954854788778,-0.015671625491682422,0.0367605803464712
sub-029,0.02047474344384156,0.04009755634112556,-0.019622812897283997
sub-030,0.03517320947743208,0.0250763223244144,0.010096887153017677
sub-031,0.028931767126056156,0.02292471069567571,0.006007056430380447
sub-032,0.03848794728631994,0.040275326101191486,-0.0017873788148715444
