subj_id,mean_trustworthy,mean_untrustworthy,neural_diff
sub-001,0.025959711908756025,0.03806796627086819,-0.012108254362112165
sub-002,-0.007868939652742955,-0.00029820668923924014,-0.007570732963503715
sub-003,0.024595061598127323,-0.01886479241754848,0.0434598540156758
sub-004,-0.04269550221449759,0.030533551183753498,-0.07322905339825109
sub-005,-0.004617552857502116,0.011005691939142198,-0.015623244796644314
sub-006,0.04299831675964835,0.04062391935155786,0.0023743974080904923
sub-007,0.03471558053400843,0.07477625882354186,-0.04006067828953343
sub-008,0.014987091476424089,0.007938471019926209,0.00704862045649788
sub-009,0.010315500658326858,0.018911976063918406,-0.008596475405591547
sub-010,0.003988092901259917,0.012913668668965438,-0.008925575767705522
sub-012,0.02330218633338794,0.043437678704822145,-0.020135492371434204
sub-013,0.045426554589772385,0.06634158308191217,-0.020915028492139782
sub-014,0.02714109743277442,0.03555071659705431,-0.008409619164279892
sub-015,0.02931599707243915,0.0785678575043196,-0.049251860431880456
sub-016,0.047154307425158346,0.05790238113759546,-0.010748073712437113
sub-017,-0.0001953422023239095,-0.004941364761507704,0.004746022559183795
sub-018,0.021153822422959167,0.05266908321211892,-0.031515260789159755
sub-019,0.013888867832585354,0.0207787463049357,-0.006889878472350345
sub-020,0.019799882590839958,0.001231391947000525,0.018568490643839433
sub-021,0.024349614480447732,0.03668641016131656,-0.012336795680868828
sub-022,-0.0009355033320045631,0.00017895403733512172,-0.0011144573693396848
sub-023,0.12290075260423795,0.10311434688691158,0.019786405717326372
sub-024,-0.017702515933295283,0.002283101556777689,-0.019985617490072972
sub-025,0.03315123337437252,0.07329867375748686,-0.04014744038311434
sub-026,0.034891326179411285,0.05578410399311164,-0.02089277781370036
sub-027,0.07939558917162094,0.049140994973976705,0.030254594197644237
sub-028,-0.0226378155327557,0.039747161955538214,-0.06238497748829391
sub-029,0.048635445268016594,0.03179694662789115,0.016838498640125446
sub-030,0.04513868244377981,0.06521813868687418,-0.020079456243094367
sub-031,0.015177638167133533,0.0012767915063072411,0.013900846660826291
sub-032,0.08578286775491317,0.030401040609531117,0.055381827145382055
