subj_id,mean_trustworthy,mean_untrustworthy,neural_diff
sub-001,0.056269993650264284,0.026345805237415837,0.029924188412848447
sub-002,0.00039967144437764003,-0.015995662554664697,0.016395333999042336
sub-003,0.01146103500967716,-0.006087843033094454,0.017548878042771613
sub-004,-0.00952033936405426,0.020443588604931204,-0.029963927968985463
sub-005,0.004082310552386351,0.004496529880047911,-0.0004142193276615606
sub-006,0.03230022411975838,0.03594281955269718,-0.0036425954329388013
sub-007,0.04724827750819815,0.06386229840800553,-0.01661402089980738
sub-008,0.002317634836324388,0.016212873768471296,-0.013895238932146909
sub-009,0.020493369439461194,0.029379908794579676,-0.008886539355118482
sub-010,0.014778662951897238,0.01727224148281365,-0.002493578530916413
sub-012,0.051815880542791244,0.04589989274882344,0.005915987793967806
sub-013,0.044819115708107156,0.0597637843439392,-0.014944668635832041
sub-014,0.03304612207191133,0.0242728260200955,0.00877329605181583
sub-015,0.07397200982091832,0.06625837472796914,0.0077136350929491865
sub-016,0.07011599456926677,0.057739700075044136,0.012376294494222638
sub-017,-0.0029575824566466305,-0.005184476059972856,0.0022268936033262255
sub-018,0.02882276877610899,0.04561146098511683,-0.016788692209007836
sub-019,0.03145969678076125,0.009257343414865187,0.022202353365896065
sub-020,0.011980350642695507,0.0029048662158582925,0.009075484426837215
sub-021,0.030044890425204526,0.04033868466090456,-0.010293794235700034
sub-022,0.004137702626005094,0.0055965442488254335,-0.0014588416228203394
sub-023,0.11009029545572248,0.10655637712183469,0.0035339183338877894
sub-024,0.00261381117972917,-0.0004104352687554747,0.003024246448484645
sub-025,0.049518332945085376,0.0684021986817338,-0.01888386573664843
sub-026,0.05095912683880396,0.05346266762602852,-0.002503540787224562
sub-027,0.07081545453519236,0.05320873406997389,0.017606720465218474
sub-028,0.006266320825112688,0.020668562998298324,-0.014402242173185635
sub-029,0.0303086393189503,0.03456381653230263,-0.004255177213352331
sub-030,0.03855133590670249,0.051398824857174896,-0.012847488950472406
sub-031,0.02412873796579746,0.008492764569430064,0.015635973396367395
sub-032,0.05452012371635153,0.03380038479518468,0.020719738921166853
